"","Gene","N.sums","MF.score","MF.rank","MF.nfold.min"
"U2surp","67958",8,1.37842810693721e-06,13301,12987.5
"Puf60","67959",1,4.50210946338907e-08,2319,1246
"Npc2","67963",7,6.581755980893e-07,10708,9875
"Zcchc10","67966",3,6.70378549390255e-08,3147,3632
"Pold3","67967",8,4.82834044105353e-07,9510,9621
"Ooep","67968",10,6.37700478345056e-07,10595,11133.5
"Tppp3","67971",19,1.74147870486383e-06,14103,14914.5
"Atp2b1","67972",17,9.80612894032931e-07,12129,13272.5
"Mphosph10","67973",0,0,335.5,335.5
"Ccny","67974",13,5.21122848373761e-07,9808,11410
"Trabd","67976",5,8.39253847408926e-07,11559,5433
"Tctn2","67978",4,6.70377511662781e-08,3144,4705
"Atad1","67979",2,3.14556650699385e-08,1897,3033
"Gnpda2","67980",4,1.91646543252494e-07,5997,5279
"Hormad1","67981",8,1.29207503671007e-06,13069,10720
"Pdzd9","67983",1,1.80346326264178e-08,1460.5,1475.5
"Tmx3","67988",5,1.20040364866431e-07,4581,5878
"Nacc2","67991",9,4.46702977540975e-07,9223,10636.5
"Mrps11","67994",1,1.34210324435207e-08,946,1879
"Srsf6","67996",9,6.28070416324685e-07,10529,11935.5
"Ddx59","67997",1,1.34210324435207e-08,946,1879
"Fam134c","67998",4,6.88540478107092e-08,3191,4659.5
"1110004E09Rik","68001",5,1.01063538046411e-07,4084.5,5517
"Sdhaf4","68002",2,2.39735011405373e-07,6787,2340.5
"Bambi","68010",15,1.74550012742629e-06,14109,14710
"Snrpg","68011",10,5.63811474970096e-07,10128,11509
"Zwilch","68014",29,3.90331905992232e-06,16056,16545.5
"Trap1","68015",4,9.70177805366945e-08,3984,5060
"Murc","68016",8,3.9682468096203e-07,8769,10085
"Ftsj2","68017",1,1.34210324435207e-08,946,1879
"Col4a3bp","68018",6,2.8193767237485e-07,7402,8423
"Apopt1","68020",2,5.98101456237718e-08,2893.5,2395.5
"Bphl","68021",10,3.58049049957744e-07,8344,10098.5
"Pdf","68023",7,4.34520231027804e-07,9110,8902
"Hist1h2bc","68024",25,5.37155595385849e-06,16547,16960
"2810417H13Rik","68026",60,9.5259722327736e-06,17112,17406
"Tmem178","68027",27,1.1097544079244e-05,17206,16908
"Rnf146","68031",2,4.42020736614895e-08,2288,2691
"Emc4","68032",6,4.84156674008708e-07,9524,9650
"Cox19","68033",2,5.39680901016799e-08,2647.5,2659.5
"Fam122a","68034",3,7.94784880567242e-08,3502,4510.5
"Rbm42","68035",4,3.23553129926972e-07,7966,8042
"Zfp706","68036",5,1.96599322778539e-07,6088,7429
"Chid1","68038",2,3.04264550646644e-08,1795,2723
"Nmb","68039",7,1.0673645934557e-06,12439,12230
"Zfp593","68040",5,3.88303729325678e-07,8680,9124
"Mid1ip1","68041",6,6.41581491083592e-07,10624,9970.5
"N6amt2","68043",7,3.25393566809684e-07,7989,8081
"Chac2","68044",13,4.90640011013955e-07,9582,11085.5
"2700060E02Rik","68045",2,1.42288838559329e-07,5047,2423.5
"2700062C07Rik","68046",1,1.34210324435207e-08,946,1879
"Mpnd","68047",3,1.39418172241371e-07,4994,6031
"Aen","68048",4,1.07651876382829e-07,4252,5604
"Nutf2","68051",3,5.09984801033497e-08,2557.5,3685.5
"Rps13","68052",6,2.73491467209393e-07,7271.5,8662.5
"Ubxn2b","68053",5,1.88726963416226e-07,5949,6957.5
"Serpina12","68054",13,1.07920311832101e-05,17187,17237.5
"Atp5s","68055",2,5.23512720561082e-08,2608,3555
"Chd1l","68058",4,1.08180746006221e-07,4270.5,5450.5
"Tm9sf2","68059",7,5.64582180531415e-07,10131,10769
"Slc25a39","68066",11,3.83190743840341e-07,8627,9977
"3010026O09Rik","68067",5,1.27155621616429e-07,4720,6071
"Pdzd2","68070",16,1.07644167649917e-06,12463,13724
"Fam173b","68073",3,1.15069524430461e-07,4444.5,5408
"A930013F10Rik","68074",7,6.5382277331535e-07,10685,11268.5
"Lurap1","68075",3,4.74628818916281e-08,2441,3881
"Gltscr2","68077",3,2.43614709776739e-07,6850,5974
"Pdcd2l","68079",2,4.15234640880065e-08,2232,3110.5
"Gpn3","68080",1,3.07810412179689e-08,1828,1184
"Dusp19","68082",4,3.58465971789479e-07,8350,7321
"Pak1ip1","68083",1,1.34210324435207e-08,946,1879
"Dcakd","68087",4,1.96896445707908e-07,6094,6291
"Arpc4","68089",6,2.99994690147183e-07,7659,8424
"Yif1a","68090",2,5.84421270774114e-08,2812.5,2794.5
"Ncbp2","68092",4,2.27298889311111e-07,6591,6834
"Smarcc2","68094",1,1.34210324435207e-08,946,1879
"Ociad1","68095",4,3.10198071153856e-07,7806,8078
"Dynll2","68097",5,2.13219265951598e-07,6360,6763
"Rchy1","68098",4,3.9914141992019e-07,8789,8276.5
"Fam92a","68099",5,2.28864252461912e-07,6605,6679.5
"Nt5c3b","68106",7,2.40339520134022e-07,6806,8361.5
"Cntd1","68107",4,1.45600234930942e-07,5121.5,4642.5
"9430008C03Rik","68108",4,1.12418017008805e-06,12605,10080.5
"Sdccag3","68112",6,1.23454541045819e-06,12915,7840
"Mum1","68114",4,1.76531968652959e-07,5717,6456
"9430016H08Rik","68115",4,1.95258917999117e-07,6066,5901
"Apool","68117",6,1.27029898983647e-07,4717,6107
"Atg101","68118",2,5.84421270774114e-08,2812.5,2794.5
"Cmtm3","68119",20,8.7951633247908e-07,11734,13361
"Cep70","68121",6,2.2477112045073e-07,6548,7152
"Fahd2a","68126",5,1.0854515268631e-07,4281,5763
"B230217C12Rik","68127",13,4.71206652440497e-07,9416,11139
"Fam120aos","68128",5,3.27020281110295e-07,8008,5998
"Upf3b","68134",8,3.38031916267227e-07,8128,9276.5
"Eif3h","68135",3,9.15735355200894e-08,3823.5,4806.5
"Kdelr1","68137",2,3.14556650699385e-08,1897,3033
"Tigd2","68140",3,8.19704970833698e-08,3590,3965
"Ino80","68142",2,6.3935864456952e-08,3063,2423.5
"5031426D15Rik","68144",16,1.77862728383329e-06,14168,14464.5
"Etaa1","68145",6,2.36944592739361e-07,6740,6851.5
"Arl13b","68146",3,9.47169056749208e-08,3920,4440
"Gar1","68147",7,4.94583671722732e-07,9605,10507.5
"Otub2","68149",13,1.43379315410448e-06,13452,11306
"Wls","68151",30,1.06904591477399e-05,17183,16990
"Fam133b","68152",2,6.05622921711196e-08,2921.5,2448.5
"Gtf2e2","68153",3,9.18781088748629e-08,3833.5,4844.5
"Stx19","68159",4,2.80524691190212e-07,7382,6217.5
"A930005H10Rik","68161",13,9.76738224336161e-07,12112,13188
"A930003A15Rik","68162",8,5.65239877415316e-07,10138,10795.5
"Spire1","68166",19,2.81503121272705e-06,15391,15216.5
"Ndnf","68169",28,7.72331243766535e-06,16955,17247
"B230118H07Rik","68170",12,7.82157603021717e-07,11301,12336
"D730048I06Rik","68171",0,0,335.5,335.5
"Rpl39l","68172",13,4.77419237724853e-06,16386,15940
"Ppifos","68173",1,3.60956621677033e-07,8393.5,1010.5
"4930591A17Rik","68175",3,4.80862527852626e-08,2461.5,3985.5
"Fam212a","68176",3,2.00651576192707e-07,6139,6494.5
"Ebpl","68177",9,5.14131067584307e-07,9762,9733
"Cgnl1","68178",12,1.76941919463114e-06,14157,12559.5
"Hyi","68180",3,2.84234165682582e-07,7441,4277
"Bcas2","68183",10,1.30209289255014e-06,13091,13210.5
"Denr","68184",6,7.67836235755383e-07,11221,11871
"Fam135a","68187",15,9.26561466385067e-07,11915,12191
"Sympk","68188",4,2.70201232687592e-07,7222,5717.5
"Leprotl1","68192",6,1.77734407393813e-07,5737,6997
"Rpl24","68193",3,2.20607357230414e-07,6472.5,5110.5
"Ndufb4","68194",8,2.9278066893424e-07,7562,9254
"Hsbp1","68196",6,2.96490796355981e-07,7604,8581
"Ndufc2","68197",5,2.54637278960438e-07,6999,7872
"Ndufb2","68198",5,1.34760530516084e-07,4912,5768
"Ccdc34","68201",14,7.8861621823156e-07,11338,12661.5
"Ndufa5","68202",10,3.9833511418831e-07,8781,9761
"Diras2","68203",25,4.41000802144274e-06,16260,16291.5
"Urm1","68205",3,6.02092904831792e-08,2907.5,3735.5
"Rnaseh2c","68209",3,1.88934845090591e-07,5953,4912.5
"Tmbim4","68212",3,3.57218557021876e-07,8339,7744.5
"Gsto2","68214",10,4.49056438625796e-07,9241,10977
"Fam98b","68215",1,4.33199246614526e-08,2259.5,738.5
"Nudt21","68219",3,1.40486065088293e-07,5013,5869
"Wfdc15a","68221",3,8.43287012596283e-08,3641.5,3970.5
"Fam166a","68222",2,6.09714785372414e-08,2932,3391.5
"1700067P10Rik","68224",2,3.598308400557e-07,8373.5,3288.5
"Efcab2","68226",7,1.47580788542249e-07,5167,6891
"AI846148","68229",1,1.34210324435207e-08,946,1879
"1700120K04Rik","68232",1,1.80346326264178e-08,1460.5,1475.5
"Fam229a","68233",1,1.80346326264178e-08,1460.5,1475.5
"Mturn","68235",16,2.17581886505409e-06,14755,14972
"1700123O21Rik","68238",1,3.07810412179689e-08,1828,1184
"Krt42","68239",4,1.77965792257297e-07,5740,5894.5
"Rpa3","68240",5,2.04689879762225e-07,6219,7434.5
"Fam195a","68241",18,1.32837671620812e-06,13174,13864
"A930018P22Rik","68243",2,1.18195406146788e-06,12781,3296.5
"Fam96a","68250",4,3.42397754471032e-07,8192,8953
"Babam1","68251",1,1.34210324435207e-08,946,1879
"Ift80","68259",11,6.94576531474685e-07,10900,11789
"Trmt12","68260",0,0,335.5,335.5
"Agpat4","68262",10,3.59951169645056e-07,8376,9269
"Pdhb","68263",2,3.499126328166e-08,2081.5,2597.5
"Iqcf3","68265",2,3.46652203417419e-08,2045,3408
"Slc25a22","68267",11,7.13947626081559e-07,11002,12271.5
"Zdhhc21","68268",5,7.91966744351895e-07,11356,6757
"Dnaaf1","68270",8,1.86477899627243e-07,5908,7647
"Zfp85os","68271",1,1.34210324435207e-08,946,1879
"Rbm28","68272",6,7.45730366325713e-07,11136,12061
"Pomgnt1","68273",0,0,335.5,335.5
"Toporsl","68274",1,1.80346326264178e-08,1460.5,1475.5
"Rpa1","68275",6,2.86987550123631e-07,7487,8435
"Toe1","68276",2,2.94282492652103e-08,1699,2904
"2310057M21Rik","68277",1,3.34359817974515e-08,2001,693.5
"Ddx39","68278",13,9.83354673050494e-07,12137,13511
"Mcoln2","68279",7,5.06682526993733e-07,9709,10278
"4930430F08Rik","68281",7,2.39259863569934e-07,6773,8313.5
"9530077C05Rik","68283",9,9.31415391266945e-07,11947,12275
"C630043F03Rik","68285",9,6.5003252972003e-07,10670,10847
"Mto1","68291",1,4.50210946338907e-08,2319,1246
"Stt3b","68292",3,4.74628818916281e-08,2441,3881
"Mfsd10","68294",0,0,335.5,335.5
"Aar2","68295",6,3.84882788149221e-07,8642,8293
"Ncapd2","68298",28,3.25462627072019e-06,15698,16497.5
"Vps53","68299",4,1.33377428650821e-07,4888,6007.5
"Fam114a1","68303",14,7.61099444013578e-07,11200,12167
"Kdelc2","68304",15,7.32919671047365e-07,11084,12122
"4930565N06Rik","68306",1,1.34210324435207e-08,946,1879
"Lrriq4","68307",1,1.80346326264178e-08,1460.5,1475.5
"Zmym1","68310",3,4.74628818916281e-08,2441,3881
"Lypd2","68311",2,3.55820860963396e-08,2132,3235
"Gstm7","68312",9,3.4247226425494e-07,8194,9808.5
"Hnf4aos","68314",2,4.93577046931647e-08,2505,3551
"Nudt22","68323",2,2.94282492652103e-08,1699,2904
"Tsr3","68327",2,5.84421270774114e-08,2812.5,2794.5
"Rab13","68328",2,2.94282492652103e-08,1699,2904
"Sdhaf1","68332",1,1.34210324435207e-08,946,1879
"Crip2","68337",11,6.59741721830266e-07,10719,11627
"Golt1a","68338",8,2.22318801786819e-07,6511,8175
"Ccdc88c","68339",12,6.7375387322732e-07,10797,12112.5
"Ndufb10","68342",2,6.65913254720301e-08,3127.5,3713.5
"Tmem174","68344",4,3.24582455161931e-07,7982,8676.5
"Sirt5","68346",8,5.50969030277222e-07,10037,10137
"0610011F06Rik","68347",6,1.35781484856657e-07,4934,6513.5
"Serpina1f","68348",3,2.41243517285556e-06,15018,12929
"Ndufs3","68349",3,8.35967480931738e-08,3617.5,4498.5
"Mul1","68350",7,4.98993053327381e-07,9642,9429.5
"Aspdh","68352",5,1.07039821528196e-07,4236,5643
"Plekhd1os","68354",4,1.74686387456929e-07,5674,6674
"2010204K13Rik","68355",22,3.61634434658065e-06,15913,16144
"0610030E20Rik","68364",3,1.2212216816298e-07,4624.5,4485
"Rab14","68365",3,9.47169056749208e-08,3920,4440
"Tmem129","68366",5,1.07788229174224e-07,4255,5352
"Pbld1","68371",7,2.86456319916053e-07,7478,8392.5
"Ndufa8","68375",4,1.28221110069787e-07,4751,5591
"Ciz1","68379",3,1.24472535387689e-07,4672.5,4647.5
"Tlcd1","68385",13,8.31984336833461e-07,11527,12869
"0610039K10Rik","68386",0,0,335.5,335.5
"Mogat1","68393",7,7.78286236913917e-06,16958,15965
"Ccdc163","68394",7,4.49196356089805e-07,9242,9323.5
"Nat8","68396",15,3.17804611959737e-06,15651,15590
"G6pc3","68401",3,1.54512898989434e-07,5293,3925
"Nrn1","68404",41,5.58525958807912e-06,16598,17019.5
"Sycn","68416",4,4.7143819261062e-07,9417,6710
"Ankrd13a","68420",5,1.54468936999749e-07,5292,6370
"Lmbrd1","68421",4,1.49028816078933e-07,5201,6615
"Ankrd13d","68423",2,3.00516201588448e-08,1766,2631
"Slc39a13","68427",1,1.60072168216896e-08,1243,1326
"Steap3","68428",9,3.38189189095201e-07,8133,9935.5
"Fbxl15","68431",1,1.70054226211437e-08,1312,1284
"Dusp23","68440",1,1.60072168216896e-08,1243,1326
"Rraga","68441",3,9.90192921443375e-08,4035,4928
"Cyp2d13","68444",9,1.57507392414346e-06,13788,12558
"Tbc1d10b","68449",3,1.6368000447841e-07,5468,4138.5
"Gpihbp1","68453",14,5.4102592498641e-07,9964,11540
"Ppp1r14a","68458",26,2.45892177048825e-06,15060,15933
"Dhrs7c","68460",11,7.82315227996484e-07,11302,12131
"Mrpl14","68463",2,4.2146834981641e-08,2237,3203
"Adipor2","68465",8,3.87575494994505e-07,8672,8569
"Ly6g6c","68468",10,6.1068162954678e-07,10421,10950
"Tmem126b","68472",3,1.48140552368457e-07,5178,5681.5
"Mob1b","68473",6,2.54422449944747e-07,6994,7505
"Ssna1","68475",1,2.55162472663168e-08,1629,1052
"Rmnd5a","68477",5,3.09701700209838e-07,7786,6601
"Phf5a","68479",1,1.34210324435207e-08,946,1879
"1110007C09Rik","68480",7,3.26513741132159e-07,8001,9068
"Mpzl1","68481",20,1.73971496058679e-06,14097,14567.5
"Krtap6-5","68484",2,6.16939515627016e-07,10452.5,4975
"Tmem140","68487",18,3.75608680490797e-06,15978,16262
"Zfp579","68490",2,3.36360103364679e-08,2007.5,3226.5
"Ndufaf4","68493",6,2.83926353710406e-07,7437,7045.5
"Arel1","68497",7,3.16066119907758e-07,7874,9110
"Tspan11","68498",16,1.06364190132401e-06,12425,13604
"Mrpl53","68499",2,3.499126328166e-08,2081.5,2597.5
"Nsmce2","68501",1,1.34210324435207e-08,946,1879
"Vps51","68505",5,2.02596058872032e-07,6182,6475.5
"Ppfia4","68507",22,3.4579535159554e-06,15819,14599
"Ptx4","68509",3,1.47427875453126e-07,5160,4878
"Ints1","68510",4,6.48751014731708e-07,10662,9985.5
"Dcdc2c","68511",0,0,335.5,335.5
"Tomm5","68512",4,2.79222973123738e-07,7367,6986
"Micu2","68514",2,9.09076140617306e-08,3794.5,4321.5
"Myadml2","68515",6,2.74130996128205e-07,7280,7983.5
"Eml1","68519",8,3.08183866994757e-07,7755,9436.5
"Zfyve21","68520",13,2.23737436859007e-06,14816,11624.5
"Fam189b","68521",13,8.73761350460369e-07,11700,12132
"Fam96b","68523",1,5.72475973469631e-08,2744.5,821.5
"Wipf2","68524",6,1.26090822723371e-07,4696,6363.5
"Evc2","68525",5,2.25303334151483e-07,6556,5858.5
"Gpr155","68526",29,4.15748018107814e-06,16151,16596.5
"Ucma","68527",8,4.05021185995012e-07,8842,10205.5
"Smim6","68528",10,5.54586319277486e-07,10069,10184
"1110020A21Rik","68531",3,6.37817185760223e-08,3053.5,3937.5
"Mphosph6","68533",2,3.19976959187166e-08,1956.5,2518.5
"Mrpl13","68537",5,2.03016046937208e-07,6191,6509.5
"Tmem109","68539",13,1.17478935808877e-06,12763,12900.5
"2310036O22Rik","68544",3,8.00123579155508e-08,3544,4385
"Ecscr","68545",18,8.4612804361852e-07,11588,13069
"Sgol2a","68549",30,2.68710514887908e-06,15288,16124
"Tefm","68550",5,1.40394632356192e-07,5009,5634.5
"Smim14","68552",9,3.15032447072876e-07,7862,9558
"Col6a4","68553",4,3.20121680058858e-06,15663,12578
"Cebpzos","68554",2,3.499126328166e-08,2081.5,2597.5
"Uckl1","68556",2,6.30253142851292e-08,3027.5,2220.5
"Ankra2","68558",3,9.25474818599712e-08,3860,4270
"Pdrg1","68559",2,3.499126328166e-08,2081.5,2597.5
"Dpm3","68563",1,5.88668762091992e-08,2882,943
"Nufip2","68564",9,1.00466957496528e-06,12232,10947.5
"Mrps18a","68565",3,8.76335357626155e-08,3726.5,4682.5
"Caly","68566",4,1.48270880605513e-07,5180,6202
"Cgref1","68567",14,9.74822168750657e-07,12102,13136
"Ict1","68572",3,9.89891847355707e-08,4030.5,5119.5
"Lamtor5","68576",6,4.99301897848759e-07,9645,9861
"Tmed10","68581",7,3.58256993974775e-07,8347,9573
"Rtn4","68585",21,1.20713472988612e-06,12855,13536.5
"Cthrc1","68588",30,7.61366389076597e-06,16946,17190
"Mocos","68591",13,7.00354957693845e-07,10928,12079.5
"Syf2","68592",1,1.34210324435207e-08,946,1879
"Ccdc167","68597",3,1.02699055107127e-07,4145,4509
"Dnajc8","68598",1,1.34210324435207e-08,946,1879
"Pmvk","68603",3,2.27161281438729e-06,14862,5877
"Ppm1f","68606",4,3.55132404100254e-07,8317,6953
"Serhl","68607",8,2.6043310371215e-07,7086,8542
"Mrpl28","68611",3,8.39583743437282e-08,3625,4519
"Ube2c","68612",44,7.91383493712248e-06,16972,17309
"Letmd1","68614",4,5.16173087611558e-07,9770,6690.5
"Gdpd3","68616",17,7.25440017231432e-06,16912,17178.5
"Mtcl1","68617",16,9.06185517081369e-07,11838,12933
"1110012L19Rik","68618",3,8.00123579155508e-08,3544,4385
"Cfap57","68625",5,1.81967236124441e-07,5820,6772.5
"Elac2","68626",1,1.34210324435207e-08,946,1879
"Fbxw9","68628",4,1.91427463823697e-07,5990,5271.5
"Cryl1","68631",10,5.36525372720487e-07,9927,10788
"Myct1","68632",24,2.98168115592264e-06,15509,15481.5
"Tm2d3","68634",1,1.01233407591412e-07,4088.5,738.5
"Fahd1","68636",9,3.64017989176276e-07,8437,9782
"Tmem216","68642",3,2.21614299872807e-07,6498.5,4475.5
"Abhd14a","68644",12,1.64151636047501e-06,13911,13697
"Nadk2","68646",16,4.80111173513721e-07,9487,11417
"Tab2","68652",3,1.34054177596704e-07,4898,3956
"Samm50","68653",2,3.89372797098375e-08,2180,2535
"Fndc1","68655",17,1.55274025794729e-06,13744,14222
"Fam198b","68659",36,4.19442819915069e-06,16165,16638
"Scgb3a1","68662",7,7.81105796503541e-07,11294,12263
"Svop","68666",5,3.55315892655468e-07,8321,6561.5
"Trpm4","68667",6,3.96617781330575e-07,8766,8854
"Klk5","68668",4,5.21966607469989e-07,9817,8320
"Pcyt2","68671",4,1.10773437906527e-07,4340,5648
"Krtap4-2","68673",2,6.71475840028914e-07,10783,6725.5
"Fam172a","68675",3,7.20027227280978e-08,3304,4031.5
"Smtnl1","68678",9,3.94019106572941e-07,8738,9927.5
"Fitm1","68680",13,2.25522167967707e-06,14835,13533
"Slc44a2","68682",20,4.2506085102286e-06,16191,14762.5
"Kansl1l","68691",6,1.94789470034817e-07,6053,7497
"1110028F18Rik","68692",1,1.85766634751959e-08,1598.5,1104.5
"Hnrnpul2","68693",3,6.22367062879074e-08,2981.5,4010.5
"Hddc3","68695",7,1.39248759543707e-06,13334,11712.5
"Ppp1r27","68701",10,8.22043634024052e-07,11491,12548
"Rere","68703",8,7.36153334735608e-07,11100,11659.5
"Gtf2f2","68705",5,4.3124415560521e-07,9082,9764
"Rabl2","68708",2,4.54514577601638e-08,2348.5,2488.5
"Cilp2","68709",3,1.50957354275632e-07,5241,4856
"Ifitm1","68713",42,1.08267991884132e-05,17191,17134
"Rnf166","68718",1,1.60072168216896e-08,1243,1326
"Lce1b","68720",4,2.72981890641567e-07,7264,7126
"1110032A03Rik","68721",8,9.30627215625681e-07,11942,11484.5
"Hrnr","68723",2,2.02313260851084e-07,6175.5,4970.5
"Arl8a","68724",2,3.00516201588448e-08,1766,2631
"1110032F04Rik","68725",18,2.62713259988197e-06,15223,15684.5
"Trp53inp2","68728",9,3.32424124607703e-07,8059,9322
"Trim37","68729",14,5.10665399220918e-07,9737,10666.5
"Dus1l","68730",4,6.46355004557303e-08,3080.5,4526
"Rbfa","68731",2,8.34816877474657e-07,11537,5608
"Lrrc16a","68732",15,1.505158912662e-06,13635,13552
"Smek1","68734",1,1.34210324435207e-08,946,1879
"Mrps18c","68735",3,1.42815749639013e-07,5057,6064.5
"Tyw5","68736",1,2.55162472663168e-08,1629,1052
"Angel1","68737",5,1.42503757885575e-07,5053,6542
"Acss1","68738",37,2.39283556989172e-06,14997,16024.5
"Krtap22-2","68740",3,7.27582361626558e-07,11062,8068
"Tmem219","68742",1,1.02598512526765e-07,4139,866
"Anln","68743",38,5.71567881272931e-06,16632,17063
"Zfp740","68744",3,9.36937006137976e-08,3889,4566
"Rreb1","68750",26,1.61520858683297e-06,13864,14992
"Mybphl","68753",6,3.34579003887683e-06,15753,14025
"Cgrrf1","68755",10,4.47435177327851e-07,9230,10522.5
"Abhd11","68758",4,1.03681269233317e-07,4171,4552
"Synpo2l","68760",5,3.09778226000233e-07,7789,8647
"1110038B12Rik","68763",17,2.16546290443837e-06,14744,14651
"Cdhr3","68764",3,7.89020107577922e-08,3494,4214
"Wash1","68767",2,5.84421270774114e-08,2812.5,2794.5
"Krtap4-6","68768",4,8.88421429857425e-07,11774,10466.5
"Phtf2","68770",12,6.77247056075746e-07,10818,12052.5
"Ms4a6d","68774",53,1.16962507836903e-05,17245,17460.5
"Atp6v1c2","68775",8,6.90664390691235e-07,10880,11624.5
"Taf11","68776",1,7.79200945014906e-08,3443.5,1213.5
"Tmem53","68777",8,2.80699983376807e-07,7385,8973.5
"Gucd1","68778",3,5.65984171096011e-08,2726,4238.5
"Trmt61b","68789",4,2.41954035821785e-07,6821,5885
"Srpx2","68792",16,1.36284046035382e-06,13257,13401
"Flnc","68794",11,6.27830608312413e-07,10527,11345.5
"Ubr3","68795",4,1.41861474051807e-07,5035,5996.5
"Tmem214","68796",2,2.94282492652103e-08,1699,2904
"Pdgfrl","68797",17,1.59883312509714e-06,13828,14681
"Rgmb","68799",13,5.71705932518587e-07,10164,10840.5
"Prr32","68800",7,8.93156858339448e-07,11788,12179
"Elovl5","68801",13,1.33735816714379e-06,13198,12964
"Mypn","68802",19,1.31555750203191e-06,13139,14381
"1110046J04Rik","68808",9,7.64773777184832e-07,11213,12019
"Nexn","68810",30,8.15020258835791e-06,16991,16735.5
"Dock5","68813",16,8.66045102849168e-07,11669,13284.5
"Btbd10","68815",5,1.18676713430611e-07,4550,5540
"Ppil1","68816",4,2.25967615322156e-07,6565,6200.5
"Zfand2b","68818",1,2.55162472663168e-08,1629,1052
"Sync","68828",10,4.85359629711253e-07,9532,10942.5
"Ldah","68832",10,3.86859223920946e-07,8660,10251
"Pdcl3","68833",2,3.40418494481074e-08,2028.5,3492.5
"Mrpl52","68836",9,1.6934581453173e-06,14010,10827
"Foxk2","68837",1,1.34210324435207e-08,946,1879
"Ankrd46","68839",3,5.69719123362553e-08,2736.5,4017.5
"1110054M08Rik","68841",4,1.37167118782753e-07,4955,5800.5
"Tulp4","68842",16,1.61265306239399e-06,13857,13631
"Pih1d1","68845",2,1.48387787432432e-07,5184,2190.5
"Rnf208","68846",8,4.73453837872557e-07,9442,9034.5
"Lrrn4cl","68852",6,3.73492091193533e-07,8519,7422.5
"Asb11","68854",13,8.06792147035364e-07,11413,12822
"Dtwd2","68857",4,9.73691182655603e-08,3988,5360.5
"Smim1","68859",11,6.4226196037796e-07,10627,12115.5
"1190002N15Rik","68861",23,1.99309086363944e-06,14497,15224
"Arv1","68865",0,0,335.5,335.5
"Rnf122","68867",13,1.26606534384921e-06,13002,13861
"Ak8","68870",8,6.43138276769881e-07,10631,9726.5
"Tmcc2","68875",21,1.54290482395338e-06,13727,14518
"Xrcc6bp1","68876",6,5.31216071147971e-07,9890,9533
"Maf1","68877",1,1.34210324435207e-08,946,1879
"Prpf6","68879",6,2.00886999872249e-07,6143,7720.5
"1190003K10Rik","68880",0,0,335.5,335.5
"Gkn3","68888",7,4.31350145752663e-07,9085,9942.5
"Ubac2","68889",3,6.99753069233696e-08,3219,3697
"Cd177","68891",27,9.00682527703574e-06,17074,17215
"Rasl11a","68895",9,1.05202093777536e-06,12383,12220
"Disp1","68897",7,8.29563520307082e-07,11519,8655.5
"Abhd13","68904",2,5.67409571049733e-08,2730.5,2261.5
"Zfp467","68910",8,5.50197251873252e-07,10033,11308.5
"Pygo2","68911",2,2.39735011405373e-07,6787,2340.5
"Vars2","68915",2,9.49255171226344e-08,3927.5,3242.5
"Cdkal1","68916",1,2.15702308381394e-08,1616,1026
"Hint2","68917",2,3.48121983626017e-08,2056,2274.5
"1190005I06Rik","68918",11,4.40752453219499e-07,9170,10608.5
"1110065P20Rik","68920",5,1.57665131757406e-07,5351,6483.5
"Dnaic1","68922",10,5.30458627145188e-07,9882,11079.5
"Rpap1","68925",5,3.18081830366979e-07,7901,5732.5
"Ubap2","68926",6,2.65300329098849e-07,7150,7981.5
"Ptcd2","68927",0,0,335.5,335.5
"Mospd3","68929",2,2.94282492652103e-08,1699,2904
"Smim11","68936",0,0,335.5,335.5
"Aspscr1","68938",2,4.65524408861987e-08,2390.5,2560.5
"Rasl11b","68939",16,9.63431790536921e-07,12062,13436
"Chmp2b","68942",5,2.23498966684839e-07,6524,7154
"Pink1","68943",8,4.7026831516869e-07,9407,9162
"Tmco1","68944",1,1.34210324435207e-08,946,1879
"Chst8","68947",15,4.04003181324778e-06,16110,16225
"Fam216a","68948",10,3.0591243777484e-07,7735,8729
"1500012F01Rik","68949",4,2.01952177924938e-07,6169,6652.5
"Fam57b","68952",26,3.0047471795852e-06,15527,16236
"Chmp2a","68953",4,2.35445225856969e-07,6709,7463.5
"Srrm4","68955",7,2.80925197853168e-07,7388,9021.5
"Paqr6","68957",4,1.18254466490993e-07,4537,5690
"Phkg2","68961",4,9.68819361987211e-08,3979,4713.5
"Ctc1","68964",1,1.34210324435207e-08,946,1879
"Ngdn","68966",4,1.95191230014528e-07,6065,6285.5
"Cdan1","68968",2,9.13411269450113e-08,3807.5,2659.5
"Eif1b","68969",3,1.17057742970735e-07,4513,5174
"Dcaf12","68970",7,3.10795353947559e-07,7813,8472
"Tamm41","68971",3,1.83523014221608e-07,5856,5899.5
"Tatdn3","68972",2,1.40785154871137e-07,5015,5468
"Med27","68975",2,4.02826052498529e-08,2195.5,2367.5
"Haghl","68977",8,2.50045393773593e-07,6929,8680
"Nol11","68979",7,4.30179262361393e-07,9072,8793
"Wdr53","68980",4,1.06872592299934e-06,12444,6460.5
"Snrpa1","68981",8,4.60591460860718e-07,9343,10517
"1500015A07Rik","68982",5,1.01554282123157e-06,12267,6686
"Gad1os","68986",2,4.88156738443867e-08,2490.5,3478.5
"Prpf31","68988",5,9.94804282162586e-08,4050,5479.5
"Ssu72","68991",0,0,335.5,335.5
"Zfp580","68992",1,1.60072168216896e-08,1243,1326
