"","Gene","N.sums","MF.score","MF.rank","MF.nfold.min"
"Ank1","11733",19,9.15153919092683e-07,11869,13457
"Ank3","11735",19,1.65096961110672e-06,13928,14209.5
"Ankfy1","11736",1,3.23260535060838e-08,1973,780
"Anp32a","11737",12,7.72173820879898e-07,11243,12345
"Slc25a4","11739",15,2.18866302309154e-06,14768,11662
"Slc25a5","11740",5,1.77261355653896e-07,5727,6503
"Anxa11","11744",8,9.11829905972456e-07,11856,11292.5
"Anxa3","11745",26,6.21654445129836e-05,17561,17156
"Anxa4","11746",27,2.32044284910854e-06,14912,14754
"Anxa5","11747",19,9.11362980493537e-06,17081,14062.5
"Anxa6","11749",22,1.20388532939448e-06,12844,14113
"Anxa7","11750",2,6.85494646398491e-08,3184,3372.5
"Anxa8","11752",18,1.6576380652479e-06,13938,14667
"Aoc3","11754",20,1.61384503554026e-06,13859,14783
"Prdx3","11757",3,9.18857192497699e-08,3836.5,3784.5
"Prdx6","11758",7,5.9507770617386e-07,10323,11351.5
"Aox1","11761",18,1.50723647393918e-06,13640,14702
"Ap1b1","11764",1,1.34210324435207e-08,946,1879
"Ap1g1","11765",1,1.34210324435207e-08,946,1879
"Ap1g2","11766",1,3.39689305215121e-08,2019.5,821.5
"Ap1m1","11767",1,1.34210324435207e-08,946,1879
"Ap1m2","11768",9,7.84415563209126e-07,11314,10167
"Ap1s1","11769",3,7.88784943922825e-08,3493,4553
"Fabp4","11770",42,6.24265302401691e-05,17562,17182
"Ap2a1","11771",1,1.60072168216896e-08,1243,1326
"Ap2a2","11772",5,2.79795924677535e-07,7371,8330.5
"Ap2m1","11773",1,1.34210324435207e-08,946,1879
"Ap3b1","11774",3,1.05543555433684e-07,4207,4407.5
"Ap3b2","11775",7,1.8332120842773e-07,5848,7313.5
"Ap3d1","11776",1,1.34210324435207e-08,946,1879
"Ap3s1","11777",5,1.61592223211458e-07,5421,6581.5
"Ap3s2","11778",4,2.06435520908072e-07,6245,5773
"Ap4m1","11781",2,1.1584682342157e-07,4466.5,2346.5
"Ap4s1","11782",4,1.11839069687338e-07,4369,5246
"Apaf1","11783",8,3.46001731283778e-07,8228,9475
"Apba2","11784",9,5.99502762273114e-07,10357,10975
"Apbb1","11785",9,2.15183630002803e-07,6393,8141
"Apbb2","11787",8,5.38103796422507e-07,9938,8001
"Apc","11789",9,2.82372655218096e-07,7410,8758.5
"Speg","11790",34,2.90990555901462e-06,15455,16116
"Apex1","11792",9,6.87105943030472e-07,10864,12098
"Atg5","11793",4,1.50357234373957e-07,5229,4864
"Birc3","11796",10,6.03502502736142e-07,10385,10835.5
"Birc2","11797",5,2.46454007450018e-07,6887,7656
"Xiap","11798",11,4.95487538829045e-07,9612,11160.5
"Birc5","11799",47,8.00188385882205e-06,16981,17320
"Api5","11800",4,1.30179711142943e-07,4797,5723
"Cd5l","11801",20,3.10786627934698e-06,15603,16387
"Aplp1","11803",26,2.35778627517459e-06,14953,15542
"Aplp2","11804",16,5.40744084650095e-06,16556,16532
"Apoa1","11806",17,6.10453891305524e-06,16711,16316.5
"Apoa2","11807",12,1.70226748893348e-06,14032,13885
"Apoa4","11808",20,6.78161444348551e-06,16843,16843
"Apobec1","11810",25,2.37537060550246e-06,14979,15884
"Apobec2","11811",14,2.44555046599315e-06,15047,15492.5
"Apoc1","11812",20,1.82499572241387e-06,14243,14912
"Apoc2","11813",33,4.72277106413261e-06,16370,16849.5
"Apoc3","11814",12,1.23420032252164e-06,12912,11666.5
"Apod","11815",34,1.14624513510905e-05,17232,17342.5
"Apoe","11816",41,8.37062127399838e-06,17024,17080.5
"Apoh","11818",9,1.33495690683847e-06,13192,12815
"Nr2f2","11819",22,4.257173203773e-06,16197,15492.5
"App","11820",26,0.000116821775758354,17582,17580
"Aprt","11821",2,7.06686297904838e-08,3248,2423.5
"Aqp1","11826",37,4.42189998832152e-06,16266,16860.5
"Aqp2","11827",1,1.70054226211437e-08,1312,1284
"Aqp3","11828",19,1.00072203911798e-05,17145,16977
"Aqp4","11829",31,9.67750389548734e-06,17125,17192.5
"Aqp5","11830",12,1.47772732854898e-06,13570,14023
"Aqp6","11831",8,1.57155591364622e-06,13781,14286
"Aqp7","11832",16,1.35522691494816e-06,13236,14020
"Aqp8","11833",19,5.8673389756851e-06,16665,16409
"Aqr","11834",8,3.467497797466e-07,8241,9094
"Ar","11835",7,3.61770359981057e-07,8408,8450
"Araf","11836",9,2.45054622649184e-07,6873,8615.5
"Arc","11838",16,3.95012308178805e-06,16079,16467
"Areg","11839",18,1.04383902041752e-05,17172,17204
"Arf1","11840",3,7.80142933516037e-08,3462.5,3579.5
"Arf2","11841",7,2.19672132302281e-07,6451,7199.5
"Arf3","11842",11,1.36808366596005e-06,13268,10654
"Arf4","11843",5,2.04456871307153e-07,6214,7225.5
"Arf5","11844",4,6.80039027244934e-08,3171.5,4575.5
"Arf6","11845",7,1.14640656710581e-06,12675,9300.5
"Arg1","11846",29,1.04901806333777e-05,17176,16944
"Arg2","11847",42,8.26731260483333e-06,17013,17267
"Rhoa","11848",6,3.20109580281446e-07,7919,9016.5
"Rhob","11852",27,2.09007901359987e-06,14635,15562
"Rhoc","11853",23,1.37207534243415e-06,13283,14462.5
"Rhod","11854",13,6.29616582746527e-07,10541,11712.5
"Arhgap5","11855",11,7.51872810401945e-07,11156,12240
"Arhgap6","11856",20,1.79170420697209e-06,14189,15141.5
"Arhgdib","11857",23,1.96125783082355e-06,14460,15191.5
"Rnd2","11858",10,5.00658744028356e-07,9657,10679
"Phox2a","11859",0,0,335.5,335.5
"Arl4a","11861",19,1.52278259051505e-06,13678,14376
"Arnt","11863",8,2.88064729756276e-07,7502,8957
"Arnt2","11864",13,9.94742352031775e-07,12189,13254
"Arntl","11865",9,1.53643788146462e-06,13712,12864
"Arpc1b","11867",13,7.18466641882451e-07,11014,11982
"Art1","11870",15,1.97416835962666e-06,14472,14381
"Art2a-ps","11871",8,1.21556951807674e-06,12876,13643
"Art2b","11872",5,6.05211312454853e-06,16702,10780.5
"Art5","11875",7,1.42948472998384e-06,13435,9657.5
"Artn","11876",7,5.740201414953e-07,10182,9188
"Arvcf","11877",4,1.52835924729418e-07,5269,6307.5
"Arx","11878",20,3.14485613109913e-06,15623,16209
"Arsb","11881",19,1.59823774270327e-06,13825,14771
"Arsa","11883",5,9.52493457307407e-08,3940.5,5414
"Asah1","11886",6,2.49376527615284e-07,6921,8346.5
"Asgr1","11889",10,1.02476705269297e-06,12299,11468
"Asgr2","11890",6,3.20548374483945e-07,7925,6537.5
"Rab27a","11891",23,1.98274816911671e-06,14486,15180
"Astn1","11899",10,4.80373610793422e-07,9490,10879.5
"Serpinc1","11905",11,3.12815509437262e-06,15615,14709
"Zfhx3","11906",30,2.61802295556688e-06,15220,16068.5
"Ate1","11907",8,6.12598425096596e-07,10428,10917
"Atf1","11908",3,1.99917424387964e-07,6131,6419.5
"Atf2","11909",6,2.40180694010279e-07,6803,8117
"Atf3","11910",37,2.40684111451163e-05,17475,17542
"Atf4","11911",4,4.5704821506231e-07,9312,9897.5
"Atm","11920",12,1.78444917314552e-06,14175,13672
"Atoh1","11921",8,1.61510568564076e-06,13863,12300.5
"Neurod6","11922",16,2.52808169844493e-06,15138,15981.5
"Neurod4","11923",8,1.38192147895016e-06,13308,13957.5
"Neurog2","11924",15,7.53065615227379e-06,16941,16836
"Neurog3","11925",4,6.65763289380999e-07,10750,6240.5
"Atox1","11927",7,3.01417005081611e-07,7682,8680
"Atp1a1","11928",15,9.74086620991796e-07,12099,13354
"Atp1b1","11931",35,3.30630014116062e-06,15726,16405
"Atp1b2","11932",27,2.65131735140022e-06,15246,15431
"Atp1b3","11933",5,2.97118168474435e-07,7613,8118
"Fxyd2","11936",20,1.84700800355442e-06,14283,14936
"Atp2a1","11937",7,8.5861894774584e-07,11638,10629.5
"Atp2a2","11938",16,8.10849808919125e-07,11427,13037.5
"Atp2b2","11941",14,1.11052975047428e-06,12563,13116
"Atp4a","11944",7,5.92361460644903e-07,10300,8601.5
"Atp4b","11945",3,2.38342725210906e-07,6760,4284.5
"Atp5a1","11946",3,3.38045397660573e-07,8129.5,6907.5
"Atp5b","11947",2,3.89372797098375e-08,2180,2535
"Atp5c1","11949",2,3.85756534592831e-08,2167.5,3250.5
"Atp5f1","11950",4,2.62115992441617e-07,7110,7952
"Atp5g1","11951",7,2.22224230664884e-07,6510,8051
"Atp5j","11957",4,1.82610870442316e-07,5835,5906
"Atp5k","11958",5,1.81391403098296e-07,5806,7118
"Atp6v1a","11964",16,6.83361259253712e-07,10838,12364
"Atp6v1b2","11966",9,2.84121594185089e-07,7440,9034.5
"Atp6v0d1","11972",3,5.49444965315271e-08,2688,3669
"Atp6v1e1","11973",1,4.50210946338907e-08,2319,1246
"Atp6v0e","11974",1,1.70054226211437e-08,1312,1284
"Atp6v0a1","11975",12,1.39538502639506e-06,13343,10945
"Atp7a","11977",10,8.49131828882066e-07,11605,11853.5
"Atp7b","11979",0,0,335.5,335.5
"Atp8a1","11980",32,2.43576167538987e-06,15039,15944.5
"Atp9a","11981",8,2.87001869378453e-07,7488,8534.5
"Atp10a","11982",21,2.22591432928535e-06,14805,14291.5
"Atpif1","11983",11,4.44864205890467e-07,9205,10890
"Slc7a1","11987",18,4.89749046033017e-06,16428,15927
"Slc7a2","11988",30,3.90238798559784e-06,16055,16543
"Slc7a3","11989",15,2.18308120262901e-05,17454,16503
"Atrn","11990",5,1.66803435953236e-07,5522,6704.5
"Hnrnpd","11991",13,6.2371945894366e-07,10503,11999.5
"Auh","11992",2,4.57470859496044e-08,2360,2316.5
"Aup1","11993",0,0,335.5,335.5
"Pcdh15","11994",10,6.72731603861111e-07,10790,11959
"Akr1b7","11997",12,2.67621182855413e-06,15278,13042.5
"Avp","11998",2,3.64411497328742e-07,8441,5378.5
"Avpr2","12000",1,5.71984213235715e-07,10167.5,738.5
"Axin1","12005",3,5.3598563461861e-07,9921,3563
"Axin2","12006",6,3.2126226197006e-07,7935,9092
"Azgp1","12007",13,1.19307673987567e-06,12811,13424.5
"Cep131","12009",3,1.28188973198159e-07,4748,3728
"B2m","12010",12,1.03847615033097e-06,12340,12632.5
"Baat","12012",7,2.77696532564205e-07,7337,7693
"Bach1","12013",9,6.47397843053404e-07,10653,11427
"Bach2","12014",28,3.68133326547371e-06,15942,15932
"Bad","12015",1,1.70054226211437e-08,1312,1284
"Bag1","12017",2,5.84421270774114e-08,2812.5,2794.5
"Bak1","12018",7,2.84289216790061e-07,7442,8135
"Nkx3-2","12020",1,6.29733232408087e-08,3023,943
"Bard1","12021",3,1.02635454993628e-07,4144,4657
"Barx1","12022",10,1.17202715267776e-05,17247,16099
"Barx2","12023",1,1.34210324435207e-08,946,1879
"Bax","12028",3,1.06329253151457e-07,4221,5166
"Bcl6b","12029",15,8.2157169096678e-07,11488,12952
"Bcan","12032",19,1.52495140636813e-06,13682,14740
"Bcap29","12033",6,1.76881490095124e-07,5723,6881
"Phb2","12034",2,1.16366805140078e-07,4499,2316.5
"Bcat1","12035",33,4.63487507645495e-06,16339,16819
"Bcat2","12036",6,2.76021747386786e-07,7302,8340
"Bche","12038",19,2.6722365526143e-06,15272,15875
"Bckdha","12039",10,7.27527270225011e-07,11057,9191
"Bckdhb","12040",10,4.6005370111869e-07,9335,9331.5
"Bckdk","12041",7,2.52008276115273e-07,6963,7458.5
"Bcl10","12042",6,3.46342008869426e-07,8230,9020
"Bcl2","12043",16,1.25177833760215e-06,12965,13644.5
"Bcl2l1","12048",11,1.08575554027602e-06,12488,13034
"Bcl2l10","12049",6,3.30712364427279e-06,15727,11651
"Bcl2l2","12050",4,6.9656483623402e-08,3208,4731
"Bcl3","12051",23,6.79693582969373e-06,16847,16981
"Bcl6","12053",16,1.75791160493294e-06,14137,14323
"Bcl7b","12054",1,1.34210324435207e-08,946,1879
"Bcl7c","12055",5,1.4531515266166e-06,13499,12133.5
"Opn1sw","12057",6,6.7048449051941e-06,16831,15273.5
"Bdkrb1","12061",3,4.09425690205966e-07,8880,3989
"Bdkrb2","12062",0,0,335.5,335.5
"Bdnf","12064",18,2.15173649120521e-06,14728,14373.5
"Bet1","12068",8,3.33580825509841e-07,8071,9393.5
"Bex2","12069",17,7.8554888517999e-06,16963,13182.5
"Ngfrap1","12070",11,3.35070584383181e-07,8094,9235
"Bfsp1","12075",1,4.05470576581593e-08,2212.5,1155.5
"Glb1","12091",9,4.10138996788097e-07,8890,10101
"Bgn","12111",28,5.24244281799983e-06,16514,16582
"Bhmt","12116",13,2.85932422992368e-06,15421,13981
"Bicd1","12121",12,4.94682508183634e-07,9606,11114
"Bid","12122",15,8.24650256120798e-07,11502,12810.5
"Hrk","12123",6,3.59363091415976e-07,8366,9563.5
"Bik","12124",7,3.67296084882622e-07,8464,9665
"Bcl2l11","12125",17,1.91102739758296e-06,14377,15091
"Fabp7","12140",26,3.06109164107495e-06,15570,16223
"Prdm1","12142",29,3.08420610749858e-06,15585,16329
"Blk","12143",9,2.60327377397034e-06,15203,13009
"Blm","12144",8,5.47695728667958e-07,10009,11196
"Cxcr5","12145",8,8.67196370976352e-07,11673,12072.5
"Bmi1","12151",6,2.63978613408998e-07,7136,8785
"Bmp1","12153",14,8.43364536147607e-07,11576,13107.5
"Bmp10","12154",0,0,335.5,335.5
"Bmp15","12155",2,1.1164997771288e-07,4364,4324
"Bmp2","12156",19,1.74787471358839e-06,14117,13854.5
"Bmp4","12159",21,1.64438926193862e-06,13914,14775
"Bmp5","12160",14,3.07443231081289e-06,15579,15281
"Bmp6","12161",13,1.4415094594706e-06,13472,13306
"Bmp7","12162",17,4.99726567546502e-06,16454,15882
"Bmp8a","12163",6,7.6622412541123e-07,11219,12022
"Bmp8b","12164",4,5.99802612257713e-07,10359,10731
"Gdf2","12165",4,4.09584905311074e-07,8881,4694
"Bmpr1a","12166",8,2.77713621837748e-07,7338,8425
"Bmpr1b","12167",17,1.83046667573995e-06,14251,13250
"Bmpr2","12168",10,3.43088905853553e-07,8198,9823
"Bmx","12169",7,1.40020099879046e-06,13355,13128
"Bnc1","12173",19,2.12202919996866e-06,14685,15373.5
"Bnip2","12175",8,3.04220557730502e-07,7715,8817
"Bnip3","12176",15,4.42818682146569e-06,16270,13691
"Bnip3l","12177",4,1.13143766358229e-07,4401,5595.5
"Smyd1","12180",19,3.6841674786201e-06,15943,16019.5
"Bop1","12181",3,1.61387899773969e-07,5420,5076
"Bst1","12182",38,9.10303842193618e-06,17080,17328
"Bpgm","12183",12,6.63502116986871e-07,10734,11546
"Brca1","12189",36,5.79474450683061e-06,16649,17089.5
"Brca2","12190",8,9.44072273397704e-07,11994,9624
"Zfp36l1","12192",29,2.02337655482189e-06,14539,15629
"Zfp36l2","12193",18,5.84007841480553e-05,17547,15259.5
"Brs3","12209",1,2.55162472663168e-08,1629,1052
"Birc6","12211",10,1.14834241739163e-06,12682,12468
"Chic1","12212",13,1.4290323050168e-06,13433,11964
"Bsg","12215",8,3.40512079392044e-07,8161,9726.5
"Bsn","12217",8,2.48339164746409e-07,6904,8582.5
"Btc","12223",9,1.01226236296088e-06,12253,11951
"Klf5","12224",17,1.31110859532732e-06,13123,12673.5
"Btg1","12226",22,4.89872461462588e-06,16429,16562
"Btg2","12227",30,1.15085944068988e-05,17235,17376.5
"Btk","12229",13,1.18332904885329e-06,12783,12920
"Btn1a1","12231",4,1.46087451135271e-06,13521,12280
"Btrc","12234",8,4.17337835743309e-07,8958,8611
"Bub1","12235",55,1.01738611642379e-05,17158,17428.5
"Bub1b","12236",35,4.34883389242426e-06,16229,16845.5
"Bub3","12237",2,6.05622921711196e-08,2921.5,2448.5
"Commd3","12238",5,2.57379096363145e-07,7044,7549
"Tspo","12257",17,8.86442325381214e-07,11764,13027
"Serping1","12258",32,4.78569006787621e-06,16391,16483
"C1qa","12259",35,7.70343193032774e-06,16951,17126
"C1qb","12260",45,1.54514921313997e-05,17351,17480.5
"C1qbp","12261",9,7.08105372390929e-07,10975,12235.5
"C1qc","12262",31,4.76822541419314e-06,16385,16872.5
"C2","12263",21,1.45524397825733e-06,13504,14662
"Ciita","12265",6,2.81283804266702e-07,7392,8909
"C3","12266",47,1.82848546451913e-05,17396,17413.5
"C3ar1","12267",24,8.03824412317154e-06,16985,16802
"C4bp","12269",10,5.69093017299479e-07,10151,11479
"C4bp-ps1","12270",1,6.49536231130972e-07,10668,693.5
"C5ar1","12273",21,1.90704311165561e-06,14370,15298
"C6","12274",13,6.48264542217661e-06,16796,17120
"C9","12279",7,1.80361207782909e-07,5790,7415
"Hyou1","12282",9,1.97959975532517e-06,14480,13173
"Cab39","12283",5,1.87583506537118e-07,5925.5,6816.5
"Cacna1a","12286",6,2.20340008303932e-07,6461,7892.5
"Cacna1b","12287",17,2.58233690023596e-06,15186,15643.5
"Cacna1c","12288",13,7.29195330401236e-07,11071,12093.5
"Cacna1d","12289",13,1.12853041441779e-06,12621,12278.5
"Cacna1e","12290",6,2.87781091839706e-07,7499,8013.5
"Cacna1g","12291",11,7.78104725977857e-07,11280,12668
"Cacna1s","12292",16,1.27021885593826e-06,13009,13272.5
"Cacna2d1","12293",27,2.45933042924797e-06,15062,15830
"Cacna2d3","12294",17,5.8338213451052e-06,16660,16133.5
"Cacnb1","12295",13,5.17174061749028e-07,9780,11317
