Samples,cluster_label,subclass_label,class_label,cluster_color,size,gene.counts,broad_class
SM-GE653_S113_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S114_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S115_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S116_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S117_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S118_E1-50,Vip_Cbln4,Vip,GABAergic,#B3128A,65,4716,CGE
SM-GE653_S119_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S120_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S121_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S122_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S123_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE653_S124_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S125_E1-50,Lamp5_Egln3_1,Lamp5,GABAergic,#FF88AD,15,5610,CGE
SM-GE653_S126_E1-50,Vip_Cbln4,Vip,GABAergic,#B3128A,65,4716,CGE
SM-GE653_S127_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE653_S128_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S129_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S130_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S131_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S132_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE653_S133_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE653_S134_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S135_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S136_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S137_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE653_S138_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE653_S139_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE653_S140_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE653_S141_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE653_S142_E1-50,Vip_Htr1f,Vip,GABAergic,#FF4DC1,29,4636,CGE
SM-GE653_S143_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE653_S144_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE653_S145_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE653_S146_E1-50,Pvalb_Vipr2,Pvalb,GABAergic,#FF197F,27,5228,MGE
SM-GE653_S147_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE653_S148_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE653_S149_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S150_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S151_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE653_S152_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE653_S154_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE653_S155_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE653_S156_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S157_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE653_S158_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE653_S159_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE653_S160_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE653_S161_E1-50,L5_IT_S100b_2,L5_IT,Glutamatergic,#00CF1E,407,7204,EXCIT
SM-GE653_S162_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S163_E1-50,L5_NP_Slc17a8,L5.6_NP,Glutamatergic,#3c78bc,104,5651,EXCIT
SM-GE653_S164_E1-50,L5_IT_S100b_2,L5_IT,Glutamatergic,#00CF1E,407,7204,EXCIT
SM-GE653_S165_E1-50,L5_IT_S100b_2,L5_IT,Glutamatergic,#00CF1E,407,7204,EXCIT
SM-GE653_S166_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE653_S167_E1-50,L6_IT_Sulf_1,L6_IT,Glutamatergic,#40bc3c,199,6714,EXCIT
SM-GE653_S168_E1-50,L6_IT_Fos,L6_IT,Glutamatergic,#3cbc92,23,6445,EXCIT
SM-GE653_S169_E1-50,L6b_Ror1,L6b,Glutamatergic,#09564c,68,6067,EXCIT
SM-GE653_S171_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE653_S172_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S173_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S174_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S175_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S176_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S178_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S179_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S180_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S181_E1-50,L6_IT_Fos,L6_IT,Glutamatergic,#3cbc92,23,6445,EXCIT
SM-GE653_S182_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S183_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S184_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S185_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S187_E1-50,L6b_Kcnip1,L6b,Glutamatergic,#09564c,5,7193,EXCIT
SM-GE653_S188_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S189_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S190_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S191_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE653_S192_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S097_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S098_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64R_S099_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S100_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S101_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S102_E1-50,L5_IT_Rspo1_2,L5_IT,Glutamatergic,#3CBC45,172,6333,EXCIT
SM-GE64R_S103_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S104_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S105_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S106_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S107_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S108_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S109_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S110_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S111_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S112_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S113_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64R_S114_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S115_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S116_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S117_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S118_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S119_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S120_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64R_S121_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S122_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64R_S123_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64R_S124_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64R_S125_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE64R_S126_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE64R_S127_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S128_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64R_S137_E1-50,Pvalb_Vipr2,Pvalb,GABAergic,#FF197F,27,5228,MGE
SM-GE64R_S138_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S139_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE64R_S140_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE64R_S141_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE64R_S142_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64R_S143_E1-50,Vip_Htr1f,Vip,GABAergic,#FF4DC1,29,4636,CGE
SM-GE64R_S144_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S145_E1-50,Vip_Cbln4,Vip,GABAergic,#B3128A,65,4716,CGE
SM-GE64R_S146_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE64R_S147_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S148_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S149_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64R_S150_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE64R_S151_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64R_S152_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64R_S153_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S154_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S155_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S156_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S157_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S158_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S159_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S160_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S161_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S162_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S163_E1-50,L6_IT_Sulf_1,L6_IT,Glutamatergic,#40bc3c,199,6714,EXCIT
SM-GE64R_S164_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S165_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64R_S166_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S167_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S168_E1-50,L6_IT_Sulf_1,L6_IT,Glutamatergic,#40bc3c,199,6714,EXCIT
SM-GE64R_S170_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64R_S171_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S173_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64R_S174_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64R_S175_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S177_E1-50,L6b_Kcnip1,L6b,Glutamatergic,#09564c,5,7193,EXCIT
SM-GE64R_S178_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64R_S179_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S180_E1-50,L6b_Kcnip1,L6b,Glutamatergic,#09564c,5,7193,EXCIT
SM-GE64R_S181_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S182_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64R_S183_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S184_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64R_S185_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64R_S186_E1-50,L6b_Ror1,L6b,Glutamatergic,#09564c,68,6067,EXCIT
SM-GE64R_S187_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S188_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S189_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64R_S190_E1-50,L6b_Ror1,L6b,Glutamatergic,#09564c,68,6067,EXCIT
SM-GE64R_S191_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64R_S192_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S001_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE64S_S002_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S003_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64S_S004_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S005_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S006_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S007_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE64S_S008_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64S_S009_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S010_E1-50,Vip_Cbln4,Vip,GABAergic,#B3128A,65,4716,CGE
SM-GE64S_S011_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE64S_S012_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S013_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S014_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE64S_S015_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S016_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S025_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S026_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64S_S027_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S028_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S029_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S030_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S031_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64S_S032_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S033_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE64S_S034_E1-50,L5_IT_Rspo1_2,L5_IT,Glutamatergic,#3CBC45,172,6333,EXCIT
SM-GE64S_S035_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE64S_S036_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE64S_S037_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S038_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE64S_S039_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE64S_S040_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE64S_S041_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64S_S042_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S043_E1-50,L5_IT_Rspo1_2,L5_IT,Glutamatergic,#3CBC45,172,6333,EXCIT
SM-GE64S_S044_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64S_S045_E1-50,Sst_Etv1_2,Sst,GABAergic,#804811,53,5933,MGE
SM-GE64S_S046_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE64S_S047_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64S_S048_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE64S_S049_E1-50,Vip_Htr1f,Vip,GABAergic,#FF4DC1,29,4636,CGE
SM-GE64S_S050_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64S_S051_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64S_S052_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE64S_S053_E1-50,Sst_Etv1_1,Sst,GABAergic,#BF880D,149,5870,MGE
SM-GE64S_S054_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64S_S055_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE64S_S056_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE64S_S057_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S058_E1-50,L5_PT_1,L5_PT,Glutamatergic,#53A367,86,7950,EXCIT
SM-GE64S_S059_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64S_S060_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S061_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S062_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64S_S063_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64S_S064_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S066_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S068_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S069_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S070_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S071_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S072_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64S_S073_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE64S_S074_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S075_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S076_E1-50,L5_PT_1,L5_PT,Glutamatergic,#53A367,86,7950,EXCIT
SM-GE64S_S077_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S078_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S080_E1-50,L6_IT_Sulf_1,L6_IT,Glutamatergic,#40bc3c,199,6714,EXCIT
SM-GE64S_S082_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64S_S083_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S084_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64S_S085_E1-50,L6b_Ror1,L6b,Glutamatergic,#09564c,68,6067,EXCIT
SM-GE64S_S086_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S087_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64S_S088_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S089_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S090_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S091_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S092_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64S_S093_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S094_E1-50,L6b_Ror1,L6b,Glutamatergic,#09564c,68,6067,EXCIT
SM-GE64S_S095_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE64S_S096_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE64S_S097_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64S_S098_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S099_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S100_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S101_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE64S_S102_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S103_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S104_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE64S_S105_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
